¿ª¸í,³¯Â¥,±¸ºÐ,05~06½Ã,06~07½Ã,07~08½Ã,08~09½Ã,09~10½Ã,10~11½Ã,11~12½Ã,12~13½Ã,13~14½Ã,14~15½Ã,15~16½Ã,16~17½Ã,17~18½Ã,18~19½Ã,19~20½Ã,20~21½Ã,21~22½Ã,22~23½Ã,23~24½Ã,00~01½Ã,01~02½Ã,ÃÑÇÕ
µ¿´ë¹®(421),3/1/2017,½ÂÂ÷,453,189,194,302,521,718,"1,081","1,408","1,999","2,875","4,481","4,961","3,953","2,464","1,606","1,076",824,645,434,6,0,30190
µ¿´ë¹®¿ª»ç¹®È­°ø¿ø(422),3/1/2017,½ÂÂ÷,501,264,185,306,422,454,569,849,"1,161","1,564","2,448","2,685","2,895","2,325","1,877","1,498","1,287","1,068",671,2,0,23031
Ãæ¹«·Î(423),3/1/2017,½ÂÂ÷,182,167,208,443,495,578,726,842,"1,239","1,318","1,839","1,896","2,151","1,749","1,287","1,072",956,868,345,1,0,18362
¸íµ¿(424),3/1/2017,½ÂÂ÷,44,78,149,230,605,808,"1,039","1,229","1,778","2,462","3,641","4,666","4,430","3,813","3,744","2,899","2,739","2,394",913,0,0,37661
È¸Çö(425),3/1/2017,½ÂÂ÷,75,119,171,221,434,633,"1,047","1,759","2,940","4,482","5,095","5,884","5,667","3,549","2,042","2,021","1,121",392,188,0,0,37840
¼­¿ï¿ª(426),3/1/2017,½ÂÂ÷,155,146,164,256,300,383,409,504,540,684,"1,108","1,089",994,721,550,361,319,231,97,0,0,9011
¼÷´ëÀÔ±¸(427),3/1/2017,½ÂÂ÷,103,157,249,407,486,572,541,749,741,868,798,929,868,721,586,615,531,423,156,0,0,10500
»ï°¢Áö(428),3/1/2017,½ÂÂ÷,25,40,34,96,151,125,176,197,314,290,256,268,329,318,203,137,109,108,38,0,0,3214
½Å¿ë»ê(429),3/1/2017,½ÂÂ÷,39,77,105,205,221,298,365,388,555,682,768,"1,032","1,137",847,582,570,598,310,122,0,0,8901
ÀÌÃÌ(430),3/1/2017,½ÂÂ÷,33,86,105,164,284,311,428,579,661,802,902,"1,099",863,766,413,300,287,126,37,0,0,8246
µ¿ÀÛ(431),3/1/2017,½ÂÂ÷,8,19,53,75,85,147,175,210,214,173,195,194,125,85,33,46,34,20,11,1,0,1903
ÃÑ½Å´ëÀÔ±¸(432),3/1/2017,½ÂÂ÷,177,334,422,794,916,"1,019","1,128","1,333","1,508","1,326","1,105","1,124","1,211",922,735,742,706,578,244,0,0,16324
»ç´ç(433),3/1/2017,½ÂÂ÷,324,473,618,"1,058","1,251","1,435","1,749","1,693","1,750","1,640","1,387","1,492","1,250","1,224","1,052",960,"1,165",859,318,0,0,21698
³²ÅÂ·É(434),3/1/2017,½ÂÂ÷,15,13,27,79,66,70,103,67,71,78,80,96,149,91,20,29,23,6,8,0,0,1091
¼­¿ï¿ª(150),3/2/2017,½ÂÂ÷,408,551,"1,803","3,600","2,128","2,177","2,699","2,886","2,737","2,262","3,258","3,499","4,566","8,740","5,264","3,520","3,483","2,360","1,124",158,0,57223
½ÃÃ»(151),3/2/2017,½ÂÂ÷,79,130,304,367,492,565,762,842,"1,082","1,140","1,560","1,737","2,270","5,356","3,196","2,303","2,460","1,711",553,37,0,26946
Á¾°¢(152),3/2/2017,½ÂÂ÷,101,147,356,578,750,880,"1,302","1,494","2,037","2,422","2,671","2,915","4,103","9,393","5,694","4,553","5,371","4,261","1,834",159,0,51021
Á¾·Î3°¡(153),3/2/2017,½ÂÂ÷,153,132,269,485,517,841,"1,406","1,707","2,260","2,575","2,909","2,958","3,317","4,753","3,851","2,507","2,780","2,213",931,107,0,36671
Á¾·Î5°¡(154),3/2/2017,½ÂÂ÷,70,100,233,337,444,730,"1,051","1,355","1,584","2,070","2,269","2,180","2,841","4,980","3,147","1,887","1,602","1,241",567,50,0,28738
µ¿´ë¹®(155),3/2/2017,½ÂÂ÷,583,448,787,"1,049",853,779,759,887,954,934,"1,113","1,010","1,110","1,321",936,652,567,521,311,31,0,15605
½Å¼³µ¿(156),3/2/2017,½ÂÂ÷,331,411,925,"1,201",860,780,892,856,928,891,"1,058","1,083","1,357","2,638","1,351",821,758,539,216,26,0,17922
Á¦±âµ¿(157),3/2/2017,½ÂÂ÷,129,347,"1,023","1,391",838,878,"1,232","1,267","1,587","1,849","2,095","2,175","1,743","1,840","1,043",526,503,368,129,10,0,20973
Ã»·®¸®(ÁöÇÏ)(158),3/2/2017,½ÂÂ÷,526,727,"2,140","2,728","1,735","1,264","1,617","1,686","1,776","1,907","2,353","2,799","2,344","2,347","1,458","1,126",945,712,324,12,0,30526
µ¿¹¦¾Õ(159),3/2/2017,½ÂÂ÷,107,148,315,372,300,292,488,543,577,741,952,932,927,989,529,298,232,210,102,7,0,9061
½ÃÃ»(201),3/2/2017,½ÂÂ÷,49,85,263,390,476,590,867,861,"1,069","1,197","1,505","1,572","2,482","6,504","3,571","2,222","2,266","1,556",632,80,0,28237
À»Áö·ÎÀÔ±¸(202),3/2/2017,½ÂÂ÷,99,114,350,669,861,"1,117","1,316","1,679","2,056","2,329","2,780","2,947","4,039","10,423","6,765","6,102","5,138","3,649","1,663",238,0,54334
À»Áö·Î3°¡(203),3/2/2017,½ÂÂ÷,36,85,233,371,546,583,642,730,897,"1,040","1,111","1,268","1,948","5,198","3,426","2,073","2,030","1,410",679,113,0,24419
À»Áö·Î4°¡(204),3/2/2017,½ÂÂ÷,32,42,114,235,386,471,593,589,714,869,987,"1,030","1,434","3,139","2,095",866,644,433,228,37,0,14938
µ¿´ë¹®¿ª»ç¹®È­°ø¿ø(205),3/2/2017,½ÂÂ÷,393,258,327,536,539,875,728,717,772,926,"1,146","1,344","1,570","2,146","1,674","1,153","1,164","1,027",679,165,0,18139
½Å´ç(206),3/2/2017,½ÂÂ÷,238,521,"1,324","1,838","1,121",780,684,781,891,832,901,986,"1,137","1,567","1,093",825,698,519,292,61,0,17089
»ó¿Õ½Ê¸®(207),3/2/2017,½ÂÂ÷,223,585,"1,732","2,403","1,184",678,650,636,587,538,556,676,708,"1,118",800,463,444,281,141,19,0,14422
¿Õ½Ê¸®(¼ºµ¿±¸Ã»)(208),3/2/2017,½ÂÂ÷,304,498,"1,455","2,163","1,302",767,753,848,875,915,"1,032","1,700","1,814","2,004","1,462","1,311","1,516","1,605",991,202,0,23517
