연번,영업장면적,업태명,,,,,,감성주점
821,61.61,한식,,,,,,
822,56.31,회집,,,,,,
823,183.9,한식,,,,,,
824,95.32,한식,,,,,,
825,63.58,식육(숯불구이),,,,,,
826,47.12,한식,,,,,,
827,41.35,호프/통닭,,,,,,
828,60.04,식육(숯불구이),,,,,,
829,137.65,한식,,,,,,
830,58.1,한식,,,,,,
831,153.05,일식,,,,,,
832,91.82,한식,,,,,,
833,94.63,까페,,,,,,
834,22.23,까페,,,,,,
835,16.43,한식,,,,,,
836,54.79,호프/통닭,,,,,,
837,27.82,한식,,,,,,
838,15.96,한식,,,,,,
839,85.54,탕류(보신용),,,,,,
840,18.99,한식,,,,,,
841,190.91,한식,,,,,,
842,22.68,한식,,,,,,
843,111.8,호프/통닭,,,,,,
844,90.24,식육(숯불구이),,,,,,
845,116.33,한식,,,,,,
846,50.08,한식,,,,,,
847,83.72,까페,,,,,,
848,82.32,탕류(보신용),,,,,,
849,33.9,호프/통닭,,,,,,
850,88.49,한식,,,,,,
851,26.86,한식,,,,,,
852,51.45,통닭(치킨),,,,,,
853,63,호프/통닭,,,,,,
854,164.64,호프/통닭,,,,,,
855,192.72,일식,,,,,,
856,84.42,한식,,,,,,
857,81.4,식육(숯불구이),,,,,,
858,57.95,한식,,,,,,
859,34.92,한식,,,,,,
860,221.76,식육(숯불구이),,,,,,
861,61.74,한식,,,,,,
862,30.24,분식,,,,,,
863,77.28,한식,,,,,,
864,51.64,까페,,,,,,
865,11.62,한식,,,,,,
866,120.67,한식,,,,,,
867,35.34,호프/통닭,,,,,,
868,31.3,기타,,,,,,
869,57.96,한식,,,,,,
870,342.74,중국식,,,,,,
871,56.12,한식,,,,,,
872,190.08,식육(숯불구이),,,,,,
873,146.79,한식,,,,,,
874,75.57,호프/통닭,,,,,,
875,30.96,호프/통닭,,,,,,
876,38.61,호프/통닭,,,,,,
877,36.4,한식,,,,,,
878,66.56,식육(숯불구이),,,,,,
879,72.06,한식,,,,,,
880,100.43,한식,,,,,,
881,79.76,호프/통닭,,,,,,
882,58.38,한식,,,,,,
883,705.92,뷔페식,,,,,,
884,63.2,호프/통닭,,,,,,
885,132,식육(숯불구이),,,,,,
886,89.3,한식,,,,,,
887,124.6,한식,,,,,,
888,44.55,한식,,,,,,
889,99.88,경양식,,,,,,
890,182.21,경양식,,,,,,
891,109.91,한식,,,,,,
892,89.75,중국식,,,,,,
893,30.61,한식,,,,,,
894,19.27,한식,,,,,,
895,88,한식,,,,,,
