년도,연번,시설명,인증구분,인증서 번호,인증 기간,인증등급,"도,시",시군구,비고
2017,53,양산시 장애인직업재활시설,예비인증,제1521호,'17.07.26.～'22.07.25.,우수,경상남도,양산시,공공
2017,54,강정마을 커뮤니티센터,예비인증,제1530호,'17.07.28.～'22.07.27.,우수,제주특별자치도,서귀포시,공공
2017,55,구항보건지소,예비인증,제1531호,'17.07.28.～'22.07.27.,우수,충청남도,홍성군,공공
2017,56,소남새뜰센터,예비인증,제1532호,'17.07.28.～'22.07.27.,우수,경상남도,양산시,공공
2017,57,(가칭)양주특수학교,예비인증,제1536호,'17.07.31.～'22.07.30.,우수,경기도,양주시,공공
2017,58,스위트위드㈜,본인증,제437호,'17.08.18.～'22.08.17.,우수,경기도,평택시,민간
2017,59,낙가동 경로당,예비인증,제1591호,'17.08.18.～'22.08.17.,우수,충청북도,청주시,공공
2017,60,동구보훈회관,예비인증,제1597호,'17.08.21.～'22.08.20.,우수,부산광역시,동구,공공
2017,61,식품파일럿플랜트 및 통합물류지원센터,예비인증,제1598호,'17.08.21.～'22.08.20.,일반,대전광역시,유성구,공공
2017,62,효성어린이공원 공중화장실,예비인증,제1599호,'17.08.21.～'22.08.20.,우수,인천광역시,계양구,공공
2017,63,산림복합커뮤니티센터,본인증,제440호,'17.08.25.～'22.08.24.,우수,충청남도,태안군,공공
2017,64,세계 해태상 테마전시관,예비인증,제1613호,'17.08.25.～'22.08.24.,일반,전라남도,신안군,공공
2017,65,그린친환경 신축공장,예비인증,제1623호,'17.08.29.～'22.08.28.,우수,강원도,춘천시,민간
2017,66,진례 테크노밸리 금강산업,예비인증,제1624호,'17.08.29.～'22.08.28.,우수,경상남도,김해시,민간
2017,67,양촌면 거사2리 경로당,예비인증,제1636호,'17.08.29.～'22.08.28.,일반,충청남도,논산시,공공
2017,68,중촌경로당,예비인증,제1637호,'17.08.29.～'22.08.28.,우수,경기도,안양시,공공
2017,69,연산9동 주민센터,예비인증,제1638호,'17.08.29.～'22.08.28.,일반,부산광역시,연제구,공공
2017,70,㈜시아스 쿡,예비인증,제1639호,'17.08.29.～'22.08.28.,우수,충청북도,음성군,민간
2017,71,새별오름 화장실,예비인증,제1640호,'17.08.29.～'22.08.28.,우수,제주특별자치도,제주시,공공
2017,72,(가칭)원주특수학교,예비인증,제1641호,'17.08.29.～'22.08.28.,우수,강원도,원주시,공공
2017,73,남원1리 신성동회관,예비인증,제1642호,'17.08.30.～'22.08.29.,우수,제주특별자치도,서귀포시,공공
2017,74,금창동 경로당,예비인증,제1679호,'17.09.11.～'22.09.10.,우수,인천광역시,동구,공공
2017,75,건양대학병원 어린이집,본인증,제463호,'17.09.18.～'22.09.17.,우수,대전광역시,서구,민간
2017,76,무형문화재(한산모시) 복원가옥,예비인증,제1695호,''17.09.18.～'22.09.17.,우수,충청남도,서천군,공공
2017,77,군포경찰서 부곡파출소,예비인증,제1705호,'17.09.20.～'22.09.19.,우수,경기도,군포시,공공
2017,78,㈜지앤지티씨 본사,예비인증,제1706호,''17.09.20.～'22.09.19.,우수,인천광역시,계양구,민간
2017,79,양산경찰서 증산파출소,예비인증,제1716호,'17.09.25.～'22.09.24.,우수,경상남도,양산시,공공
2017,80,합덕교육문화스포츠센터,예비인증,제1717호,'17.09.25.～'22.09.24.,우수,충청남도,당진시,공공
2017,81,㈜우리식품,예비인증,제1718호,'17.09.25.～'22.09.24.,우수,대구광역시,수성구,민간
2017,82,서울지방경찰청 자하문로 별관,예비인증,제1730호,'17.09.27.～'22.09.26.,일반,서울특별시,종로구,공공
2017,83,성남 중앙공설시장,예비인증,제1747호,'17.10.10.～'22.10.09.,우수,경기도,성남시,공공
2017,84,서광동리 경로당,예비인증,제1768호,'17.10.20.～'22.10.19.,우수,제주특별자치도,서귀포시,공공
2017,85,관양2동 노외 공영주차장,예비인증,제1769호,'17.10.20.～'22.10.19.,우수,경기도,안양시,공공
2017,86,특화사업 종합지원센터,예비인증,제1772호,'17.10.23.～'22.10.22.,우수,경기도,동두천시,공공
2017,87,고령경찰서 다산파출소,예비인증,제1773호,'17.10.24.～'22.10.23.,우수,경상북도,고령군,공공
2017,88,가야산업,예비인증,제1776호,'17.10.24.～'22.10.23.,우수,광주광역시,광산구,민간
2017,89,일산동부경찰서 풍사파출소,본인증,제481호,'17.10.24.～'22.10.23.,우수,경기도,고양시,공공
2017,90,고창 장애인복지관,본인증,제482호,'17.10.24.～'22.10.23.,우수,전라북도,고창군,공공
2017,91,배곧누리(배곧1)유치원,본인증,제483호,'17.10.24.～'22.10.23.,우수,경기도,시흥시,공공
2017,92,대현청실 경로당,예비인증,제1781호,'17.10.24.～'22.10.23.,우수,경기도,부천시,공공
2017,93,주접지하차도 옆 공영주차장,예비인증,제1795호,'17.10.27.～'22.10.26.,우수,경기도,안양시,공공
2017,94,서울양재동우체국,본인증,제487호,'17.10.27.～'22.10.26.,우수,서울특별시,서초구,공공
2017,95,의령 화정복합문화센터,예비인증,제1804호,'17.11.1.～'22.10.31.,우수,경상남도,의령군,공공
2017,96,경기경찰청 남양주북부경찰서,예비인증,제1805호,'17.11.1.～'22.10.31.,우수,경기도,남양주시,공공
2017,97,기형도문학관,본인증,제492호,'17.11.1.～'22.10.31.,우수,경기도,광명시,공공
2017,98,유한회사 성지에프앤디 공장시설,본인증,제493호,'17.11.1.～'22.10.31.,우수,전라남도,무안군,민간
2017,99,양지경로당,예비인증,제1808호,'17.11.2.～'22.11.1.,우수,경기도,안양시,공공
2017,100,돌산마루 1호 공영주차장,예비인증,제1809호,'17.11.2.～'22.11.1.,우수,인천광역시,남동구,공공
2017,101,농업회사법인 ㈜화산,예비인증,제1826호,'17.11.9.～'22.11.8.,우수,전라북도,익산시,민간
2017,102,센텀경로당,본인증,제496호,'17.11.10.～'22.11.9.,우수,부산광역시,해운대구,공공
2017,103,우3동 주민센터,본인증,제497호,'17.11.10.～'22.11.9.,우수,부산광역시,해운대구,공공
2017,104,송현다목적체육센터,예비인증,제1828호,'17.11.10.～'22.11.9.,우수,대구광역시,달서구,공공
2017,105,삼남 중방경로당,예비인증,제1829호,'17.11.10.～'22.11.9.,우수,울산광역시,울주군,공공
2017,106,홍제2동 노인종합커뮤니티센터,예비인증,제1838호,'17.11.14.～'22.11.13.,우수,서울특별시,서대문구,공공
2017,107,성남동주민센터 별관,예비인증,제1839호,'17.11.14.～'22.11.13.,우수,경기도,성남시,공공
2017,108,다목적회관(아우름센터),예비인증,제1840호,'17.11.16.～'22.11.15.,우수,경기도,양평군,공공
2017,109,좌4동 문화센터,예비인증,제1841호,'17.11.16.～'22.11.15.,우수,부산광역시,해운대구,공공
2017,110,화성동탄 업무시설 등 복합건축물,예비인증,제1846호,'17.11.17.～'22.11.16.,우수,경기도,화성시,공공
2017,111,신선스카이웨이 공영주차장,예비인증,제1847호,'17.11.17.～'22.11.16.,우수,부산광역시,영도구,공공
2017,112,화성서부경찰서 비봉파출소,예비인증,제1848호,'17.11.17.～'22.11.16.,우수,경기도,화성시,공공
2017,113,수강메디카㈜,예비인증,제1856호,'17.11.20.～'22.11.19.,우수,경상북도,구미시,민간
2017,114,구립 목2동어린이집,예비인증,제1857호,'17.11.20.～'22.11.19.,우수,서울특별시,양천구,공공
2017,115,삼리경로당,예비인증,제1858호,'17.11.20.～'22.11.19.,우수,대구광역시,달서구,공공
2017,116,천안버들유치원,본인증,제508호,'17.11.24.～'22.11.23.,일반,충청남도,천안시,공공
2017,117,군포 노인행복센터2호점,본인증,제509호,'17.11.24.～'22.11.23.,우수,경기도,군포시,공공
2017,118,구포축산물도매시장 고객주차장,예비인증,제1884호,'17.11.24.～'22.11.23.,우수,부산광역시,북구,공공
2017,119,정선군 장애인보호작업장,예비인증,제1885호,'17.11.24.～'22.11.23.,우수,강원도,정선군,공공
2017,120,바람숲 화장실,예비인증,제1891호,'17.11.28.～'22.11.27.,일반,전라북도,고창군,공공
2017,121,안산상록경찰서 이동파출소,예비인증,제1892호,'17.11.28.～'22.11.27.,우수,경기도,안산시,공공
2017,122,도서 자생식물 보전센터,예비인증,제1893호,'17.11.28.～'22.11.27.,우수,전라남도,신안군,공공
2017,123,항노화산업 지원센터,예비인증,제1894호,'17.11.28.～'22.11.27.,우수,경상남도,의령군,공공
2017,124,남구 숭의동 공영주차장,예비인증,제1895호,'17.11.28.～'22.11.27.,우수,인천광역시,남구,공공
2017,125,어울초등학교((가칭)신령초등학교),본인증,제515호,'17.11.28.～'22.11.27.,우수,경기도,안성시,공공
2017,126,송정동 주민센터,본인증,제516호,'17.11.28.～'22.11.27.,일반,경상북도,구미시,공공
2017,127,파주 운정2파출소,본인증,제517호,'17.11.28.～'22.11.27.,일반,경기도,파주시,공공
2017,128,광산경찰서 송정파출소,예비인증,제1899호,'17.11.28.～'22.11.27.,우수,광주광역시,광산구,공공
2017,129,인천광역시 송도소방서,본인증,제518호,'17.11.29.～'22.11.28.,우수,인천광역시,연수구,공공
2017,130,반여 행복경로당(반여1동 중리마을 경로당),본인증,제519호,'17.11.29.～'22.11.28.,우수,부산광역시,해운대구,공공
2017,131,동궁원 공용화장실,본인증,제520호,'17.11.29.～'22.11.28.,우수,경상북도,경주시,공공
2017,132,철망산 시민복합시설,예비인증,제1908호,'17.11.29.～'22.11.28.,우수,경기도,광명시,공공
2017,133,아산 충무병원,예비인증,제1909호,'17.11.29.～'22.11.28.,일반,충청남도,아산시,민간
2017,134,점동도서관,본인증,제522호,'17.11.30.～'22.11.29.,우수,경기도,여주시,공공
2017,135,향남읍 도이리 일원 캠핑장,본인증,제523호,'17.11.30.～'22.11.29.,우수,경기도,화성시,민간
2017,136,성동구 보건소 금호분소,본인증,제524호,'17.11.30.～'22.11.29.,우수,서울특별시,성동구,공공
2017,137,비슬산 유스호스텔,본인증,제525호,'17.11.30.～'22.11.29.,우수,대구광역시,달성군,공공
2017,138,창조정밀,본인증,제526호,'17.11.30.～'22.11.29.,우수,경기도,포천시,민간
2017,139,현동주민센터,본인증,제539호,'17.12.12.～'22.12.11.,우수,경상남도,창원시,공공
2017,140,제주시 동부보건소 치매안심센터,예비인증,제2001호,'17.12.28.～'22.12.27.,우수,제주특별자치도,제주시,공공
2017,141,(가칭)두촌유치원,예비인증,제2002호,'17.12.28.～'22.12.27.,우수,충청북도,진천군,공공
2017,142,죽림 종합문화센터,예비인증,제2008호,'17.12.29.～'22.12.28.,일반,경상남도,통영시,공공
2017,143,김포경찰서 고촌파출소,예비인증,제2009호,'17.12.29.～'22.12.28.,우수,경기도,김포시,공공
2017,144,남구 국민체육센터,본인증,제570호,'17.12.29.～'22.12.28.,우수,대구광역시,남구,공공
2017,145,서구 비원건강증진센터,본인증,제571호,'17.12.29.～'22.12.28.,우수,대구광역시,서구,공공
2017,146,홍천군 치매안심센터,예비인증,제2012호,'17.12.29.～'22.12.28.,우수,강원도,홍천,공공
2017,147,거창서 원학파출소,예비인증,제2013호,'17.12.29.～'22.12.28.,우수,경상남도,거창군,공공
2017,148,희망마을 경로당,예비인증,제2014호,'17.12.29.～'22.12.28.,우수,경상남도,양산시,공공
2017,149,새별오름 화장실,본인증,제572호,'17.12.29.～'22.12.28.,우수,제주특별자치도,제주시,공공
2017,150,장암 주민자치센터,본인증,제573호,'17.12.29.～'22.12.28.,일반,충청남도,부여군,공공
2018,1,이천시 모가면 다목적관,본인증,제586호,'18.1.26.～'23.1.25.,우수,경기도,이천시,공공
2018,2,팔달구 노인회지회회관,예비인증,제2088호,'18.1.31.～'23.1.30.,우수,경기도,수원시,공공
2018,3,올림픽 슬라이딩센터(스타트하우스-1 스타트하우스-2 피니쉬하우스),본인증,제595호,'18.2.7.～'23.2.6.,우수,강원도,평창군,공공
2018,4,빛가온초등학교,본인증,제596호,'18.2.9.～'23.2.8.,우수,강원도,평창군,공공
2018,5,김광석길 공중화장실,본인증,제601호,'18.2.21.～'23.2.20.,우수,대구광역시,중구,공공
